"subject_nr","language","duration","age","gender","Exemplar","CategoryCorrect","CategoryLeft","CategoryRight","Color","correctResponse","correct","count","Condition","File","mt_id","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","total_dist","vel_max","vel_max_time","vel_min","vel_min_time","acc_max","acc_max_time","acc_min","acc_min_time"
15,"de",1445.14000000001,32,"female","lila","lila","grün","lila","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0583",592,-452,1,-545,727.950600794435,766,727.950600794435,766,-50.7086700501869,375,163.462289151424,203983,4,5,2,2,1360,0,0,2042.58974610368,15.3237651305995,860,0,0,0.386920211241942,828,-0.434997631191217,891
14,"de",1466.85999999999,46,"female","rot","grün","grün","rot","#22AF48","grün",TRUE,1,"incongruent","preprocessed_train_data.csv","id0584",490,-439,150,-492,626.976295382111,1000,626.976295382111,1000,-79.6652468890759,280,144.66199443327,264989,2,3,1,1,1437,0,0,1845.99860681834,6.8308239803116,1265,0,0,0.120188005601451,1265,-0.189725582135397,1234
10,"de",1752,20,"female","rot","gelb","rot","gelb","#F9DF30","gelb",TRUE,1,"incongruent","preprocessed_train_data.csv","id0585",91,-481,0,-491,370.182071434068,518,370.182071434068,518,-34.405817126737,341,144.759132370311,193464.5,4,3,3,0,1198,0,16,2101.34783095089,7.87896725465971,137,0,0,0.553732143273525,177,-0.690058996455695,145
16,"de",519.622000011906,24,"female","blau","blau","blau","gelb","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0586",516,0,0,-442,33.8226565819813,148.199999988021,33.8226565819813,148.199999988021,-7.89784052301616,63.1999999880209,5.7331054626947,11265,0,0,0,0,258.100000024016,0,0,690.347160902371,5.66235672993359,164.199999988021,0,0,0.157015940292637,114.399999975984,-0.126433132252404,215.199999988021
17,"de",732,26,"female","lila","lila","lila","gelb","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0587",309,0,0,-326,42.6360684210842,104,42.6360684210842,104,-0.227083649885154,8,18.5531953598921,10211,0,0,0,0,216,0,0,459.99244434998,3.25960120260132,56,0,0,0.19950892173004,40,-0.186899924837417,32
12,"de",779.315000000002,25,"female","lila","lila","grün","lila","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0588",0,-506,0,-413,-52.2544544130055,266.79999999702,0,0,-52.2544544130055,266.79999999702,-28.1024102301688,-24865.5,0,0,0,0,480.79999999702,0,0,672.854680763683,4.72213112996887,250.699999988021,0,0,0.512683202750022,167.899999991001,-0.071855602334498,300.699999988021
10,"de",952,20,"female","gelb","gelb","gelb","grün","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0589",377,0,0,-406,49.2018487234801,161,49.2018487234801,161,-5.96703271752844,40,23.0104502671326,9302.5,0,0,0,0,478,0,40,570.940773581421,5.03891109268659,372,0,0,0.538755263228866,372,-0.614238886585824,380
19,"de",977.539999999979,21,"female","blau","blau","gelb","blau","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0590",0,-475,0,-554,-60.7958241489501,94,2.2788499202025,16,-60.7958241489501,94,-18.5270087415063,-22696.5,0,0,0,0,391,0,0,744.048965264161,6.18876249746264,78,0,0,0.129785800630858,16,-0.135610517040448,109
14,"de",1092.52000000002,46,"female","rot","lila","rot","lila","#8632eb","lila",TRUE,1,"incongruent","preprocessed_train_data.csv","id0591",1,-491,81,-484,-58.3873844123717,265,15.8590898314463,656,-58.3873844123717,265,-18.3037347775436,-2782,1,1,1,1,953,0,0,848.877093273533,3.41440525791918,750,0,0,0.0662700050434031,750,-0.0857219703159184,764
4,"de",1299.45000001194,33,"female","gelb","gelb","lila","gelb","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0592",190,-371,0,-437,320.000963911888,327.299999997078,320.000963911888,327.299999997078,0,0,136.900489965431,84936.5,1,0,1,0,765.599999993981,3.29999999701977,3.29999999701977,953.780459427882,2.84737430559876,427.399999991001,0,0,0.0695023631526139,3.29999999701977,-0.0544246794822393,441.199999988021
15,"de",1321.35999999999,32,"female","blau","blau","blau","rot","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0593",816,-671,0,-638,859.215837915294,766,859.215837915294,766,-107.046330674258,984,191.243901739824,356247,2,5,1,0,1203,0,0,2676.32583144273,22.0851512616509,922,0,0,0.537484632844461,891,-0.643200700251104,953
1,"de",1470.52000000002,28,"female","lila","blau","lila","blau","#0F89CA","blau",TRUE,1,"incongruent","preprocessed_train_data.csv","id0594",533,-726,0,-534,733.780043103507,750,733.780043103507,750,-8.22197965794551,1249,400.164344149709,271952,5,4,2,0,1453,0,0,2680.5637489132,13.8852439661678,812,0,0,0.625703260114993,812,-0.446581488843767,968
5,"de",1873.30199999991,27,"female","grün","rot","rot","grün","#EE224A","rot",TRUE,1,"incongruent","preprocessed_train_data.csv","id0595",327,-277,0,-376,452.47449733839,1092.29999999999,452.47449733839,1092.29999999999,-53.8167490658299,648.400000000023,169.363834169712,-16149.5,4,2,2,0,1732.10000000003,0,0,1628.07717244737,6.26338317385406,832.299999999988,0,0,0.161591534937884,812.200000000012,-0.144064014841296,847.799999999988
16,"de",455.602999976152,24,"female","lila","lila","lila","rot","#8632eb","lila",TRUE,1,"congruent","preprocessed_train_data.csv","id0596",437,0,0,-475,45.3627875649992,101.600000023798,45.3627875649992,101.600000023798,0,0,16.095862557248,19155.5,0,0,0,0,203.699999988094,0,0,654.594947045527,6.64209556264324,67.8999999762018,0,0,0.293772234622002,42.6000000237982,-0.0908758148980763,84.5
12,"de",667.484000005963,25,"female","rot","rot","rot","gelb","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0597",456,0,0,-483,27.3422100568044,80.7999999969907,27.3422100568044,80.7999999969907,-0.68649090330926,156,8.45844109702429,11004.5,0,0,0,0,185,0,0,668.083261477115,8.24054454477759,46.7999999969907,0,0,0.187113793992403,13.6999999879918,-0.185409005848611,96.6999999879918
1,"de",793.860000000001,28,"female","rot","rot","rot","grün","#EE224A","rot",TRUE,1,"congruent","preprocessed_train_data.csv","id0598",566,0,0,-530,-35.1325179609112,438,2.654090080154,328,-35.1325179609112,438,-11.4559808392857,-17026.5,0,0,0,0,625,0,0,782.155891486502,5.58251237745555,408,0,0,0.120919251856446,361,-0.0770802963559545,501
19,"de",951.239999999991,21,"female","grün","grün","grün","blau","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0599",672,0,0,-594,-61.1907262841886,62,0,0,-61.1907262841886,62,-21.2203795075215,-41273,1,0,0,0,234,0,0,915.620959531845,18.8895845970736,62,0,0,0.647556908463467,62,-0.464598862736115,78
4,"de",1012.261,33,"female","gelb","gelb","gelb","lila","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0600",400,0,0,-395,-43.0214824833692,217.700000003009,10.3440116039195,101.700000003009,-43.0214824833692,217.700000003009,-11.7133553584509,-6743.5,0,0,0,0,393.899999991001,0,4.20000000300934,579.791970228364,4.7976186485713,138.09999999401,0,0,0.0808249471112676,101.700000003009,-0.0844779446822731,201.59999999401
17,"de",1124,26,"female","rot","gelb","rot","gelb","#F9DF30","gelb",TRUE,1,"incongruent","preprocessed_train_data.csv","id0601",362,-504,0,-398,529.187109196695,208,529.187109196695,208,-101.476472163405,432,150.630492817985,108964.5,2,2,1,0,672,0,40,1509.79932815571,8.5,320,0,0,0.362492226320056,248,-0.656391141954902,344
14,"de",1201.45999999999,46,"female","gelb","gelb","rot","gelb","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0602",22,-514,78,-488,-92.77336231476,734,0,0,-92.77336231476,734,-41.6885588672894,-48266.5,1,1,1,1,890,0,0,878.626168751491,5.06842074899952,687,0,0,0.0779632477163485,625,-0.112143870243776,812
10,"de",1730,20,"female","lila","rot","rot","lila","#EE224A","rot",TRUE,1,"incongruent","preprocessed_train_data.csv","id0603",434,-133,0,-468,253.074253141683,113,253.074253141683,113,0,0,70.9343963563528,60840,1,0,1,0,1288,0,0,905.371317159261,8.04487414444751,51,0,0,0.536303868979427,51,-1.2339748288895,56
15,"de",1834.73999999999,32,"female","grün","lila","grün","lila","#8632eb","lila",TRUE,1,"incongruent","preprocessed_train_data.csv","id0604",583,-649,0,-629,853.254392889755,280,853.254392889755,280,-1.94273981335758,984,291.465731703854,352347.5,2,5,1,0,1031,0,0,2156.15236336627,8.69226987360353,453,0,0,0.150136340612222,156,-0.145994189035697,234
5,"de",2338.819,27,"female","grün","grün","gelb","grün","#22AF48","grün",TRUE,1,"congruent","preprocessed_train_data.csv","id0605",0,-414,0,-346,-21.9257617490881,96.6000000000058,0,0,-21.9257617490881,96.6000000000058,-7.99735491575031,-6422.5,2,2,0,0,384,0,0,553.141844636377,5.09840725164654,48.2000000000116,0,0,0.0725722540152394,28.2999999999884,-0.126051977902691,267
16,"de",559.847000011927,24,"female","blau","blau","blau","grün","#0F89CA","blau",TRUE,1,"congruent","preprocessed_train_data.csv","id0606",465,0,0,-419,82.7906577425801,175.600000023798,82.7906577425801,175.600000023798,0,0,45.774180222058,35339.5,0,0,0,0,394.100000023798,0,0,659.525403909522,2.88006368779633,42.7000000475964,0,0,0.0645899694965043,25.7000000475964,-0.0398198684262981,375.600000023798
12,"de",654.030000005965,25,"female","gelb","gelb","gelb","grün","#F9DF30","gelb",TRUE,1,"congruent","preprocessed_train_data.csv","id0607",568,0,0,-481,15.7557079585835,88.6999999879918,15.7557079585835,88.6999999879918,-6.08355467182282,38.8999999910011,2.04657970769883,3223,0,0,0,0,142.899999991001,0,0,746.811059222891,10.5897323907218,71.7999999969907,0,0,0.193219035051826,38.8999999910011,-0.227606160274267,88.6999999879918
