,subject_nr,Condition,xpos_max,xpos_min,ypos_max,ypos_min,MAD,MAD_time,MD_above,MD_above_time,MD_below,MD_below_time,AD,AUC,xpos_flips,ypos_flips,xpos_reversals,ypos_reversals,RT,initiation_time,idle_time,total_dist,vel_max,vel_max_time,vel_min,vel_min_time,acc_max,acc_max_time,acc_min,acc_min_time
1094,33,0,219,0,0,-250,-9.58307641909585,62.0,1.20051726568894,124.0,-9.58307641909585,62.0,-2.20957886929926,-1555.0,0,0,0,0,329.0,0.0,0.0,334.430955228729,3.89009157989886,46.0,0,0,0.0739220010357923,78.0,-0.176856581126031,93.0
1095,5,1,397,0,0,-386,-18.0940072568854,125.0,0.617641529279845,406.0,-18.0940072568854,125.0,-5.72319222617415,-4927.5,0,0,0,0,437.0,0.0,0.0,556.335785373218,3.08790483175891,30.0,0,0,0.0738670562957715,30.0,-0.0970174297492652,141.0
1096,33,0,257,0,0,-310,-13.0576025235559,63.0,0.526476176301595,188.0,-13.0576025235559,63.0,-5.04163978409,-3471.0,0,0,0,0,220.0,0.0,0.0,404.13437964132,4.78604742976916,47.0,0,0,0.103570248214927,47.0,-0.197204070777196,16.0
1097,35,1,424,0,0,-431,94.613505621779,168.100000150036,94.613505621779,168.100000150036,0.0,0.0,62.222186673907,38340.0,0,0,0,0,500.0,0.0,88.400000100024,646.206391448073,3.12009484325306,67.900000100024,0,0,0.271079801916563,399.700000050012,-0.104058279347726,230.700000050012
1098,5,1,0,-392,0,-383,31.2073081015826,62.0,31.2073081015826,62.0,0.0,0.0,14.4181841998213,10976.0,0,0,0,0,359.0,0.0,0.0,554.793555196572,4.14943101855878,62.0,0,0,0.109266214345092,62.0,-0.121687749423753,15.0
1099,35,1,390,0,2,-411,8.85830183163679,351.899999856949,8.85830183163679,351.899999856949,-8.60944338209289,234.200000046985,-1.66747380103549,488.0,0,1,0,1,509.299999951967,0.0,0.0,573.409082206534,3.82759964352881,384.899999856949,0,0,0.0766826454429762,334.899999856949,-0.0697081170523684,435.099999903934
1100,33,0,285,0,0,-288,-14.7120619656966,93.0,1.42159833790323,234.0,-14.7120619656966,93.0,-4.70487965542391,-3381.0,0,0,0,0,250.0,0.0,0.0,408.064385561838,4.28706265991063,46.0,0,0,0.115633602046694,46.0,-0.111029196878351,93.0
1101,5,0,0,-360,0,-370,-19.3322291634402,203.0,5.96625910054066,32.0,-19.3322291634402,203.0,-8.99182030180432,-4949.5,0,0,0,0,360.0,0.0,0.0,521.398446413545,2.92422829326151,126.0,0,0,0.107025598349871,32.0,-0.138659985858658,141.0
1102,35,0,423,0,0,-448,40.6690873392238,271.299999949988,40.6690873392238,271.299999949988,0.0,0.0,16.0097044649537,17327.0,0,0,0,0,630.0,0.0,0.0,628.633464923783,5.09173656525944,255.299999949988,0,0,0.099127754781017,221.299999949988,-0.261836395021471,568.399999849964
1103,33,1,287,0,0,-309,11.8419058332858,63.0,11.8419058332858,63.0,-5.97549112933125,155.0,0.506693692253234,1181.0,0,0,0,0,327.0,0.0,0.0,424.332112573453,4.44467119602973,63.0,0,0,0.123649809096974,63.0,-0.144236781833314,77.0
1104,5,0,373,0,0,-404,-16.526052671701,62.0,4.68847406048699,140.0,-16.526052671701,62.0,-4.63125660238771,-5311.5,0,0,0,0,234.0,0.0,0.0,553.012698591375,6.60235648167464,47.0,0,0,0.089831978366702,47.0,-0.200619059581562,62.0
1105,35,0,52,-447,0,-523,138.362795534964,273.5,138.362795534964,273.5,-0.636631941889811,409.599999899976,51.1410702512977,57586.0,1,0,1,0,449.599999899976,0.0,0.0,792.178026689724,6.2384259326754,323.5,0,0,0.144334612343191,290.5,-0.115214727611651,340.599999899976
1106,33,0,0,-272,0,-254,13.2095185022533,47.0,13.2095185022533,47.0,0.0,0.0,5.00650424601267,2921.5,0,0,0,0,235.0,0.0,16.0,374.144425279316,6.50390507695185,31.0,0,0,0.257338730652953,31.0,-0.215726638448947,47.0
1107,5,0,286,0,0,-323,3.1268683333666,125.0,3.1268683333666,125.0,-1.81956385596203,94.0,0.573452354095551,116.5,0,0,0,0,202.0,0.0,0.0,432.236127653004,4.41525134555718,0.0,0,0,0.0550433708742954,94.0,-0.183742327341839,125.0
1108,35,0,76,-501,0,-518,217.519911031125,366.099999899976,217.519911031125,366.099999899976,0.0,0.0,112.230798228631,92956.5,1,0,1,0,535.200000050012,0.0,0.0,896.388006647437,6.29111476608081,450.200000050012,0,0,0.100944050801631,433.200000050012,-0.118690640359107,500.200000050012
1109,33,1,283,0,0,-318,-13.8128294961622,94.0,0.0,0.0,-13.8128294961622,94.0,-6.23078154417304,-3740.0,0,0,0,0,313.0,0.0,0.0,427.42183601855,4.28443711403062,63.0,0,0,0.130677722956812,17.0,-0.0974175655902542,80.0
1110,5,0,0,-370,0,-386,-9.47834618309074,140.0,5.61070216047204,265.0,-9.47834618309074,140.0,-0.635709556909236,-1042.5,0,0,0,0,421.0,0.0,0.0,536.946810055087,2.68741924943285,156.0,0,0,0.0503694801984752,281.0,-0.113139539392648,296.0
1111,33,0,276,-2,0,-267,9.43721200353981,79.0,9.43721200353981,79.0,-6.82791663170017,218.0,-0.0078122615923326,506.0,1,0,1,0,390.0,0.0,0.0,390.17975138957,3.96428499928493,172.0,0,0,0.0867089989546186,172.0,-0.163844502110245,187.0
1112,35,1,379,-224,0,-424,404.458955682041,471.5,404.458955682041,471.5,-6.5501712134469,629.399999849964,116.007498011529,71241.5,5,2,4,0,685.199999799952,0.0,0.0,1137.04876198786,8.01276419689331,545.799999949988,0,0,0.242679293388216,512.099999899976,-0.139004448011302,579.099999899976
1113,5,1,357,0,0,-366,-20.0321621241069,233.0,2.51135482985288,15.0,-20.0321621241069,233.0,-6.96620621936084,-2119.0,0,0,0,0,343.0,0.0,0.0,515.59758777282,4.99570127709814,77.0,0,0,0.118852863181413,61.0,-0.223659222413437,93.0
1114,35,0,11,-381,0,-509,18.8370017362628,89.6000001500361,18.8370017362628,89.6000001500361,-5.56170189861098,192.400000100024,3.56012212571116,3366.5,2,1,1,0,344.200000050012,0.0,0.0,657.777180772947,7.13448057416338,109.299999949988,0,0,0.177044415101079,109.299999949988,-0.0876504975122599,175.400000100024
1115,33,0,310,0,0,-326,-14.9912572853465,79.0,0.0,0.0,-14.9912572853465,79.0,-5.44850604685967,-4427.5,0,0,0,0,220.0,0.0,0.0,451.642181814448,5.56846590184406,63.0,0,0,0.131434082952407,32.0,-0.14541065876201,79.0
1116,5,1,0,-417,0,-359,26.0538298098192,79.0,26.0538298098192,79.0,-5.56660719220677,312.0,8.01492191421172,5404.5,0,0,0,0,407.0,0.0,0.0,555.585040106848,2.84253408071038,32.0,0,0,0.115895144494235,32.0,-0.0943653214257188,249.0
1117,35,1,28,-401,0,-446,88.541475227596,398.0,88.541475227596,398.0,0.0,0.0,33.2429438926854,32325.0,1,0,1,0,678.0,0.0,0.0,659.607024185342,3.91101357986266,398.0,0,0,0.097697844609199,398.0,-0.0799689557530195,651.299999949988
1118,33,0,306,-21,0,-326,49.1730098057163,141.0,49.1730098057163,141.0,0.0,0.0,22.5388752974862,11047.5,1,0,1,0,376.0,0.0,0.0,483.880112097913,4.41462216830488,172.0,0,0,0.174225868232714,172.0,-0.0934258155361576,187.0
1119,5,1,0,-385,0,-389,37.8214855607052,140.0,37.8214855607052,140.0,0.0,0.0,19.5800186335355,14544.5,0,0,0,0,358.0,0.0,0.0,556.471385618524,4.21724510195933,62.0,0,0,0.102519005371769,62.0,-0.141910051968716,170.0
1120,35,1,54,-408,0,-506,186.304615384615,399.299999949988,186.304615384615,399.299999949988,0.0,0.0,69.5109615384615,68933.5,3,0,1,0,583.699999799952,0.0,0.0,787.012762925028,5.89822536870201,466.299999949988,0,0,0.105392399415934,432.399999849964,-0.137869161625123,482.299999949988
1121,33,1,0,-263,0,-282,50.7199924121171,109.0,50.7199924121171,109.0,0.0,0.0,19.7714092519675,12312.5,0,0,0,0,281.0,0.0,15.0,402.19832594269,3.4032383475155,109.0,0,0,0.0860737520819123,63.0,-0.0845678696349003,125.0
1122,5,0,388,-175,0,-353,354.107419245231,750.0,354.107419245231,750.0,0.0,0.0,173.723936424084,83890.0,3,2,3,0,969.0,0.0,0.0,1380.95843295124,5.39277583902762,828.0,0,0,0.156668971138603,547.0,-0.206109990528526,639.0
1123,35,1,20,-413,0,-470,114.399678424817,315.700000050012,114.399678424817,315.700000050012,0.0,0.0,37.0308430921315,43331.5,1,0,1,0,526.5,0.0,0.0,696.967762413368,5.1453340884893,332.700000050012,0,0,0.110663419702076,315.700000050012,-0.0566214312813626,365.700000050012
1124,33,0,0,-366,0,-303,-39.4671980542473,95.0,0.0,0.0,-39.4671980542473,95.0,-20.6091463981823,-10104.0,1,0,0,0,328.0,0.0,0.0,493.508971438567,9.8115047265952,16.0,0,0,0.46789814511737,16.0,-0.358361718767576,32.0
1125,5,0,387,0,0,-390,-25.6249219283399,95.0,0.0,0.0,-25.6249219283399,95.0,-10.5516720343785,-8719.0,0,0,0,0,220.0,0.0,0.0,552.598669703748,7.92856999856987,110.0,0,0,0.238829004117874,110.0,-0.320634209995839,125.0
1126,35,0,413,-10,0,-504,172.195637808637,317.099999899976,172.195637808637,317.099999899976,-5.97297240137263,82.3999998499639,32.5606427162466,60032.0,2,0,2,0,577.199999799952,0.0,0.0,767.423255285296,4.30859766523059,334.0,0,0,0.0952301407317658,264.799999949988,-0.0828994311679789,451.0
1127,33,1,219,-1,0,-276,39.5764423263499,78.0,39.5764423263499,78.0,0.0,0.0,15.3758906094928,6797.0,1,0,1,0,283.0,0.0,0.0,367.828660658141,2.66666666666667,63.0,0,0,0.0678282944279735,63.0,-0.0656642440521635,78.0
1128,5,0,0,-372,0,-339,-6.31241195418511,30.0,4.14270661771357,312.0,-6.31241195418511,30.0,-0.585235205641678,-448.5,0,0,0,0,375.0,0.0,0.0,505.943909004226,3.09485460078499,77.0,0,0,0.0739377985260992,30.0,-0.101902049159531,93.0
1129,35,1,66,-418,0,-430,144.965724100155,382.0,144.965724100155,382.0,0.0,0.0,51.6893813479189,50647.0,1,0,1,0,590.700000050012,0.0,0.0,724.918863095447,4.31344304396345,432.0,0,0,0.0827988846422042,366.0,-0.292350398542461,67.5
1130,33,0,0,-369,0,-350,31.6169933791687,109.0,31.6169933791687,109.0,0.0,0.0,10.6871205232323,11437.0,0,0,0,0,249.0,0.0,0.0,516.977788135086,9.81269904256724,93.0,0,0,0.300183353917996,93.0,-0.349361844654106,124.0
1131,5,0,0,-370,0,-381,-13.1728055231456,219.0,6.20040717377337,31.0,-13.1728055231456,219.0,-6.39032384989908,-3112.0,0,0,0,0,406.0,0.0,0.0,533.414329652862,4.01386485959743,63.0,0,0,0.0885569531676891,235.0,-0.192331024522377,78.0
1132,33,0,0,-285,0,-290,14.1170068910757,94.0,14.1170068910757,94.0,-1.31578374333197,219.0,5.05331665444376,3123.0,0,0,0,0,282.0,0.0,16.0,408.586186830387,4.91709037722287,32.0,0,0,0.11703436823478,32.0,-0.177286092913288,47.0
1133,35,1,280,-547,2,-537,469.46370202955,541.099999904982,469.46370202955,541.099999904982,-0.0391370864330669,718.199999809964,193.127596685227,166401.5,1,1,1,1,730.599999904982,0.0,0.0,1335.95509776672,8.83567791130081,615.399999856949,0,0,0.164742777617712,599.299999953015,-0.255078459078473,517.099999904982
1134,5,0,127,-304,0,-417,266.143658309186,345.0,266.143658309186,345.0,-10.724434954254,95.0,113.639317252389,45494.5,2,1,2,0,704.0,0.0,0.0,986.858839622199,3.10493558709356,173.0,0,0,0.0851857304277992,360.0,-0.0928186085758554,281.0
1135,35,0,502,0,3,-493,54.8564503136614,365.899999856949,54.8564503136614,365.899999856949,-2.8411027845949,20.2000000469852,19.0719150907848,24224.0,0,1,0,1,497.099999903934,0.0,0.0,721.063227779365,4.85541112937404,400.0,0,0,0.0442440456439242,333.0,-0.0775436642746811,466.0
1136,33,1,342,-44,0,-291,87.1441656189802,296.0,87.1441656189802,296.0,-0.82841739778853,453.0,28.754577844783,19208.0,1,0,1,0,546.0,0.0,0.0,535.004980980431,6.08276253029822,328.0,0,0,0.189725443405375,328.0,-0.166887150965275,343.0
1137,5,0,337,0,0,-411,-14.0640259053501,77.0,0.0,0.0,-14.0640259053501,77.0,-9.00722307654861,-5416.5,0,0,0,0,453.0,0.0,0.0,535.11775199554,4.15801184461997,31.0,0,0,0.132091209931869,31.0,-0.109802515973916,47.0
1138,35,1,93,-486,0,-494,221.112138640187,404.299999953015,221.112138640187,404.299999953015,-0.620501602939927,552.199999809964,80.6620237709174,70449.0,1,0,1,0,576.399999856949,0.0,0.0,892.621100864781,6.48315123994497,454.399999856949,0,0,0.462024805502775,537.599999904982,-0.104040310355857,504.299999953015
1139,33,1,245,-288,0,-398,403.072982475542,297.0,403.072982475542,297.0,0.0,0.0,124.369483640111,121482.5,1,1,1,0,658.0,16.0,32.0,987.793040385453,5.4270733365231,219.0,0,0,0.111013964460111,219.0,-0.17770750065305,235.0
1140,5,1,369,0,0,-353,26.68721849961,140.0,26.68721849961,140.0,-0.656018359067307,234.0,11.19865767976,6567.5,0,0,0,0,328.0,0.0,0.0,516.178922770546,3.14058613160028,92.0,0,0,0.0471440769824112,187.0,-0.0946004811225223,108.0
1141,33,1,0,-316,0,-309,-13.0552008113102,125.0,1.95488622200554,203.0,-13.0552008113102,125.0,-3.06313588359825,-3288.0,0,0,0,0,281.0,0.0,0.0,444.441139550864,6.26376036239821,79.0,0,0,0.179661019716106,79.0,-0.336880933000409,93.0
1142,35,1,762,-326,2,-555,546.832101109934,417.200000046985,546.832101109934,417.200000046985,-65.3566471324952,705.300000190036,76.3068873538474,251276.0,3,2,2,1,907.400000095018,0.0,0.0,1995.56652685072,13.5991655069295,467.900000095018,0,0,0.324101659531313,451.0,-0.257743288455858,95.2000000469852
1143,5,1,0,-392,0,-422,21.0251927773846,282.0,21.0251927773846,282.0,0.0,0.0,11.2511981580878,7217.5,0,0,0,0,392.0,0.0,0.0,580.368671220273,3.71651718682963,63.0,0,0,0.0978709918793106,63.0,-0.0900926779018415,79.0
1144,35,0,0,-369,0,-420,39.8911372423436,82.6999998099636,39.8911372423436,82.6999998099636,-3.27328406212399,165.599999904982,13.1881918043983,10810.5,0,0,0,0,201.5,0.0,0.0,571.368922246141,7.08866242305958,115.5,0,0,0.112025461333734,98.6999998099636,-0.135361779419151,149.599999904982
1145,33,1,233,-23,0,-280,54.5207452499465,94.0,54.5207452499465,94.0,-2.30052288617596,250.0,16.9315965248257,7919.0,1,0,1,0,312.0,0.0,0.0,403.829069029861,3.64478318208977,172.0,0,0,0.153374790753092,94.0,-0.116261326091439,187.0
1146,35,1,4,-520,1,-513,74.6422624869814,269.0,74.6422624869814,269.0,-1.27842604892355,383.5,21.6944614424516,30640.0,2,2,1,1,461.5,0.0,0.0,781.760307615372,5.4986629390832,285.0,0,0,0.085071507351382,269.0,-0.189242613275282,369.0
1147,33,0,0,-343,0,-272,8.19172069125962,78.0,8.19172069125962,78.0,-1.11019973674073,188.0,1.8568052524295,2251.5,0,0,0,0,313.0,0.0,16.0,439.789369946121,8.36519948955194,78.0,0,0,0.307800982914652,78.0,-0.308602363917327,94.0
1148,5,1,345,0,0,-340,-10.7869620783176,124.0,4.47994405932043,203.0,-10.7869620783176,124.0,-1.72488168735586,-1151.0,0,0,0,0,359.0,0.0,0.0,487.204681169338,4.87396712704913,156.0,0,0,0.11565458916731,156.0,-0.232839324697857,171.0
1149,34,0,742,0,0,-576,-108.414763650565,157.0,0.0,0.0,-108.414763650565,157.0,-33.6831621208359,-66273.0,1,0,0,0,376.0,0.0,16.0,992.987774533413,11.4511522952447,126.0,0,0,0.243407632836604,110.0,-0.208568155833974,187.0
1150,3,0,192,-499,0,-497,389.172045168082,207.599999999627,389.172045168082,207.599999999627,0.0,0.0,167.85897620565,134526.5,2,0,2,0,336.199999989942,0.0,0.0,1131.72355599806,8.11718599180637,256.299999999814,0,0,0.13064649785829,224.099999999627,-0.148394522283276,312.099999999627
1151,34,1,14,-550,0,-694,140.862663075695,172.0,140.862663075695,172.0,-0.78231097188389,343.0,46.9151244555548,79286.5,3,1,2,0,360.0,0.0,0.0,956.826030168784,9.7951678137743,188.0,0,0,0.20607946997425,188.0,-0.336035222173802,235.0
1152,3,1,506,-35,0,-536,63.4043270786093,128.5,63.4043270786093,128.5,-5.02773956165113,240.100000009872,21.5245860456439,18051.5,1,0,1,0,304.300000010058,0.0,0.0,796.593523413132,7.53498614914623,192.800000010058,0,0,0.171293860409133,144.300000010058,-0.125500600022475,240.100000009872
1153,34,1,708,0,0,-568,-26.5488209760846,295.0,0.0,0.0,-26.5488209760846,295.0,-9.76603068124774,-14350.0,1,0,0,0,484.0,0.0,64.0,918.730481688935,9.66408460486558,343.0,0,0,0.166828645252781,249.0,-0.345273777417724,375.0
1154,3,1,242,-478,0,-442,343.999358753725,199.900000009686,343.999358753725,199.900000009686,-35.3528784273507,359.900000009686,102.001000570884,118032.5,1,0,1,0,648.699999999721,0.0,0.0,1160.30865338106,7.74250151561016,248.800000010058,0,0,0.116636888177598,199.900000009686,-0.151071469466528,320.100000009872
1155,34,0,0,-636,0,-628,114.283417077245,219.0,114.283417077245,219.0,-3.45926272017898,47.0,36.6640681384534,59481.5,3,1,0,0,328.0,0.0,0.0,952.757512739186,9.50157881617576,156.0,0,0,0.230264450246022,108.0,-0.253297445071893,187.0
1156,3,1,415,0,0,-435,-35.4120889877942,168.299999999814,12.6412342088885,72.0999999898486,-35.4120889877942,168.299999999814,-8.13628241261684,-5898.0,0,0,0,0,328.399999990128,0.0,0.0,615.397885975811,5.95229110081725,120.399999990128,0,0,0.114246524420872,88.399999990128,-0.124525981786834,152.200000000186
1157,34,0,734,-497,0,-684,1003.27514013236,234.0,1003.27514013236,234.0,-10.9795877036962,608.0,323.710651332672,126235.0,3,2,1,0,656.0,0.0,47.0,2430.93392438334,20.7471550927939,343.0,0,0,0.575102463483492,312.0,-0.623706090506271,374.0
1158,3,0,125,-557,0,-419,225.777385991954,352.099999990314,225.777385991954,352.099999990314,-15.94689893879,551.900000000373,61.6350735461547,55147.0,3,0,1,0,671.900000000373,0.0,0.0,988.373157050402,7.24767840343355,416.099999990314,0,0,0.159853727092888,384.700000000186,-0.120997667684588,471.900000000373
